date,equity,positions,drawdown
2026-09-07,7351150.244997499,12,-98012.51350000035
2026-09-08,7364678.0162475,12,-84484.7422499992
2026-09-09,7337548.883547499,12,-111613.87495000008
2026-09-10,7412844.473747499,12,-36318.28474999964
2026-09-11,7395912.120947501,9,-53250.63754999824
2026-09-15,7172318.2482475,9,-276844.51024999935
2026-09-16,7149570.8865975,6,-299591.87189999875
2026-09-17,7191287.9331975,6,-257874.82529999875
2026-09-18,7229269.1935925,5,-219893.564904999
2026-09-21,7271536.8731925,4,-177625.8853049986
2026-09-22,7236329.952392499,4,-212832.80610499997
